id_ano_comercializacao;id_mes_comercializacao;municipio_origem_produto;cod_ibge_municipio_origem_produto;uf_origem_produto;dsc_ceasa;uf_ceasa;municipio_ceasa;cod_ibge_municipio_ceasa;dsc_produto;qtd_comercializada_kg;valor_comercializado;pais_origem
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/PR - CURITIBA                     ;PR;CURITIBA-PR                             ;4106902                       ;CEREJA IMPORTADA              ;8;360,0;Argentina                               
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/PR - CURITIBA                     ;PR;CURITIBA-PR                             ;4106902                       ;PERA D'ANJOU                  ;64680;355740,0;Argentina                               
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEAGESP - SAO PAULO                     ;SP;SÃO PAULO-SP                            ;3550308                       ;PITAYA                        ;105;2625,0;Colômbia                                
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEAGESP - SAO PAULO                     ;SP;SÃO PAULO-SP                            ;3550308                       ;ROSA                          ;628;78613,04;Colômbia                                
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEAGESP - SAO PAULO                     ;SP;SÃO PAULO-SP                            ;3550308                       ;TAMARILLO                     ;3;75,0;Colômbia                                
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/PR - CURITIBA                     ;PR;CURITIBA-PR                             ;4106902                       ;KIWI IMPORTADO                ;5200;78000,0;Espanha                                 
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/PR - CURITIBA                     ;PR;CURITIBA-PR                             ;4106902                       ;PESSEGO IMPORTADO             ;2034;21990,0;Argentina                               
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/PR - CURITIBA                     ;PR;CURITIBA-PR                             ;4106902                       ;CEREJA IMPORTADA              ;108;6750,0;Espanha                                 
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/PR - CURITIBA                     ;PR;CURITIBA-PR                             ;4106902                       ;CEBOLA IMPORTADA              ;1000;2250,0;Espanha                                 
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/PR - CURITIBA                     ;PR;CURITIBA-PR                             ;4106902                       ;ASPARGO                       ;17;837,0;Espanha                                 
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEAGESP - SAO PAULO                     ;SP;SÃO PAULO-SP                            ;3550308                       ;DAMASCO IMPORTADO             ;1875;37500,0;Turquia                                 
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/ES - VITORIA                      ;ES;CARIACICA-ES                            ;3201308                       ;UVA PASSAS                    ;54500;586082,1;Argentina                               
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/ES - VITORIA                      ;ES;CARIACICA-ES                            ;3201308                       ;UVA RED GLOBE                 ;3200;28800,0;Argentina                               
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/ES - VITORIA                      ;ES;CARIACICA-ES                            ;3201308                       ;PERA IMPORTADA                ;10800;75146,4;Argentina                               
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/RS - PORTO ALEGRE                 ;RS;PORTO ALEGRE-RS                         ;4314902                       ;UVA IMPORTADA                 ;9796;110205,0;Argentina                               
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/PR - CURITIBA                     ;PR;CURITIBA-PR                             ;4106902                       ;CEBOLA IMPORTADA              ;16000;36000,0;Argentina                               
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/PR - CURITIBA                     ;PR;CURITIBA-PR                             ;4106902                       ;NECTARINA IMPORTADA           ;63;700,0;Argentina                               
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/PR - CURITIBA                     ;PR;CURITIBA-PR                             ;4106902                       ;ASPARGO                       ;162;8354,0;Argentina                               
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/PR - CURITIBA                     ;PR;CURITIBA-PR                             ;4106902                       ;ALHO IMPORTADO                ;13970;223520,0;Argentina                               
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/PR - CURITIBA                     ;PR;CURITIBA-PR                             ;4106902                       ;MACA GRAND SMITH              ;36126;276610,0;Argentina                               
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/PR - CURITIBA                     ;PR;CURITIBA-PR                             ;4106902                       ;MACA RED DELICIOUS            ;57133;386100,0;Argentina                               
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/PR - CURITIBA                     ;PR;CURITIBA-PR                             ;4106902                       ;LARANJA IMPORTADA             ;890;6675,0;Argentina                               
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/PR - CURITIBA                     ;PR;CURITIBA-PR                             ;4106902                       ;KIWI IMPORTADO                ;740;11200,0;Argentina                               
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/RS - PORTO ALEGRE                 ;RS;PORTO ALEGRE-RS                         ;4314902                       ;PERA WILLIAMS                 ;175860;1091079,36;Argentina                               
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/RS - PORTO ALEGRE                 ;RS;PORTO ALEGRE-RS                         ;4314902                       ;PERA VERMELHA                 ;1926;9090,72;Argentina                               
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/RS - PORTO ALEGRE                 ;RS;PORTO ALEGRE-RS                         ;4314902                       ;PERA D'ANJOU                  ;597;3313,35;Argentina                               
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/RS - PORTO ALEGRE                 ;RS;PORTO ALEGRE-RS                         ;4314902                       ;PERA ASIATICA                 ;176;1173,92;Argentina                               
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/RS - PORTO ALEGRE                 ;RS;PORTO ALEGRE-RS                         ;4314902                       ;PIMENTAO VERDE                ;18200;100100,0;Argentina                               
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/RS - PORTO ALEGRE                 ;RS;PORTO ALEGRE-RS                         ;4314902                       ;MIRTILO                       ;30;3249,9;Argentina                               
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/RS - PORTO ALEGRE                 ;RS;PORTO ALEGRE-RS                         ;4314902                       ;MACA RED DELICIOUS            ;108678;695191,4;Argentina                               
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/RS - PORTO ALEGRE                 ;RS;PORTO ALEGRE-RS                         ;4314902                       ;MACA GALA                     ;2646;23496,48;Argentina                               
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/RS - PORTO ALEGRE                 ;RS;PORTO ALEGRE-RS                         ;4314902                       ;MACA GRAND SMITH              ;1446;10776,1;Argentina                               
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEAGESP - SAO PAULO                     ;SP;SÃO PAULO-SP                            ;3550308                       ;UVA IMPORTADA                 ;6856;72810,72;Argentina                               
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEAGESP - SAO PAULO                     ;SP;SÃO PAULO-SP                            ;3550308                       ;PERA IMPORTADA                ;1734570;10199271,6;Argentina                               
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/RS - PORTO ALEGRE                 ;RS;PORTO ALEGRE-RS                         ;4314902                       ;ALHO IMPORTADO                ;48684;887362,0;Argentina                               
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEAGESP - SAO PAULO                     ;SP;SÃO PAULO-SP                            ;3550308                       ;ATUM                          ;1059;18839,61;Espanha                                 
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEAGESP - SAO PAULO                     ;SP;SÃO PAULO-SP                            ;3550308                       ;PIMENTAO VERMELHO             ;22957;219928,06;Argentina                               
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEAGESP - SAO PAULO                     ;SP;SÃO PAULO-SP                            ;3550308                       ;MERLUZA                       ;3660;73200,0;Argentina                               
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEAGESP - SAO PAULO                     ;SP;SÃO PAULO-SP                            ;3550308                       ;MACA RED DELICIOUS            ;405560;3082256,0;Argentina                               
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/SP - CAMPINAS                     ;SP;CAMPINAS-SP                             ;3509502                       ;ALHO IMPORTADO                ;44000;725907,6;Argentina                               
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEAGESP - SAO PAULO                     ;SP;SÃO PAULO-SP                            ;3550308                       ;MACA GALA                     ;920;6900,0;Argentina                               
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEAGESP - SAO PAULO                     ;SP;SÃO PAULO-SP                            ;3550308                       ;MACA GRAND SMITH              ;22400;159488,0;Argentina                               
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEAGESP - SAO PAULO                     ;SP;SÃO PAULO-SP                            ;3550308                       ;KIWI IMPORTADO                ;14472;266140,08;Argentina                               
