produto;classificao_produto;id_produto;uf;regiao;ano;mes;dsc_nivel_comercializacao;valor_produto_kg
16-16-16                 ;NÃO INFORMADO       ;12331;MG        ;SUDESTE        ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;3,7
16-16-16                 ;NÃO INFORMADO       ;12331;MG        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;3,85
16-24-16                 ;NÃO INFORMADO       ;10035;BA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;6,6
16-24-16                 ;NÃO INFORMADO       ;10035;BA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;5,2
18-00-27                 ;NÃO INFORMADO       ;12760;SP        ;SUDESTE        ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;2,73
18-09-18                 ;NÃO INFORMADO       ;11546;SP        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;2,98
18-15-22                 ;NÃO INFORMADO       ;9636;SC        ;SUL            ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;3,86
18-18-18                 ;NÃO INFORMADO       ;13182;PA        ;NORTE          ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;5,0
18-18-18                 ;NÃO INFORMADO       ;13182;PA        ;NORTE          ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;5,0
19-04-19                 ;NÃO INFORMADO       ;10077;ES        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;3,2
20-00-10                 ;NÃO INFORMADO       ;12474;ES        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;2,4
20-00-15                 ;YARA BELA PLUS YARA ;14038;TO        ;NORTE          ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;3,22
20-00-15                 ;YARA BELA PLUS YARA ;14038;TO        ;NORTE          ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;3,12
20-00-20                 ;NÃO INFORMADO       ;4521;ES        ;SUDESTE        ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;2,8
20-00-20                 ;NÃO INFORMADO       ;4521;PA        ;NORTE          ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;3,54
20-00-20                 ;NÃO INFORMADO       ;4521;SP        ;SUDESTE        ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;2,58
20-00-20                 ;NÃO INFORMADO       ;4521;ES        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;2,5
20-00-20                 ;NÃO INFORMADO       ;4521;ES        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;140,0
20-00-20                 ;NÃO INFORMADO       ;4521;MG        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;2,62
20-00-20                 ;NÃO INFORMADO       ;4521;MG        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;2,85
20-00-20                 ;NÃO INFORMADO       ;4521;RO        ;NORTE          ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;4,77
20-00-20                 ;NÃO INFORMADO       ;4521;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;2,41
20-00-20                 ;NÃO INFORMADO       ;4521;RO        ;NORTE          ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;4,77
20-00-20                 ;NÃO INFORMADO       ;4521;MT        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;2,55
20-05-15                 ;NÃO INFORMADO       ;11003;MG        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;2,95
20-05-20                 ;NÃO INFORMADO       ;4523;BA        ;NORDESTE       ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;2,6
20-05-20                 ;NÃO INFORMADO       ;4523;MG        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;2,6
20-05-20                 ;NÃO INFORMADO       ;4523;MG        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;3,1
20-05-20                 ;NÃO INFORMADO       ;4523;RO        ;NORTE          ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;4,7
20-05-20                 ;NÃO INFORMADO       ;4523;SP        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;2,99
20-05-20                 ;NÃO INFORMADO       ;4523;RO        ;NORTE          ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;4,7
20-05-20                 ;NÃO INFORMADO       ;4523;GO        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;3,59
20-05-20                 ;NÃO INFORMADO       ;4523;PA        ;NORTE          ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;4,2
20-05-20                 ;NÃO INFORMADO       ;4523;RS        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;3,04
20-05-20                 ;NÃO INFORMADO       ;4523;SP        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;3,3
20-05-20 + MICRONUTRIENTE;NÃO INFORMADO       ;12600;MG        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;3,7
