codigo_estacao,nome,sigla_uf,regiao_inmet,lat,lon,altitude,ano_primeiro,ano_ultimo,n_anos,data_fundacao
A029,EDEIA,GO,CO,-17.33694444,-49.91472222,608.0,2017,2026,10,2017-08-26
A031,SAO MIGUEL DO ARAGUAIA,GO,CO,-12.82055554,-50.33583333,210.0,2017,2026,10,2017-06-29
A032,MONTE ALEGRE DE GOIAS,GO,CO,-13.25361111,-46.89027777,552.0,2014,2026,13,2007-06-07
A033,PIRES DO RIO,GO,CO,-17.30416666,-48.28416666,757.27,2014,2026,13,2007-10-12
A034,CATALAO,GO,CO,-18.15472222,-47.92749999,900.72,2014,2026,13,2008-01-31
A035,ITUMBIARA,GO,CO,-18.40972222,-49.19194444,491.17,2014,2026,13,2007-11-01
A036,CRISTALINA,GO,CO,-16.78499999,-47.61305555,1211.08,2014,2026,13,2007-12-14
A037,SILVANIA,GO,CO,-16.67972221,-48.61805554,952.0,2014,2026,13,2010-10-08
A056,CRISTALINA (FAZENDA SANTA MONICA),GO,CO,-16.39944444,-47.62583332,932.0,2018,2026,9,2018-01-25
A203,SAO LUIS,MA,NE,-2.52666666,-44.21361111,54.8,2014,2026,13,2003-01-29
A204,BALSAS,MA,NE,-7.45555555,-46.02749999,271.03,2014,2026,13,2007-10-26
A205,CAROLINA,MA,NE,-7.33722221,-47.45972222,182.88,2014,2026,13,2007-12-04
A206,CHAPADINHA,MA,NE,-3.74277777,-43.35222222,104.0,2014,2026,13,2008-09-17
A207,GRAJAU,MA,NE,-5.81611111,-46.16222222,232.29,2014,2026,13,2008-09-10
A217,FAROL de SANTANA,MA,NE,-2.27083332,-43.62416666,9.87,2014,2026,13,2008-11-28
A218,PREGUICAS,MA,NE,-2.59222221,-42.7075,4.62,2014,2026,13,2008-11-22
A219,TURIACU,MA,NE,-1.66111111,-45.37249999,35.86,2014,2026,13,2008-06-10
A220,BACABAL,MA,NE,-4.24305555,-44.79499999,22.33,2014,2026,13,2008-07-09
A221,BARRA DO CORDA,MA,NE,-5.50666666,-45.23694444,154.19,2014,2026,13,2008-03-06
A222,COLINAS,MA,NE,-6.03305554,-44.23333333,175.37,2014,2026,13,2008-06-03
A223,ALTO PARNAIBA,MA,NE,-9.10833333,-45.93194443,283.69,2014,2025,12,2008-06-03
A224,ESTREITO,MA,NE,-6.65333333,-47.41833332,182.96,2014,2026,13,2008-02-27
A225,IMPERATRIZ,MA,NE,-5.55583333,-47.45972222,117.96,2014,2026,13,2008-03-01
A237,CAXIAS,MA,NE,-4.82138888,-43.3436111,84.85,2014,2026,13,2008-07-13
A238,BURITICUPU,MA,NE,-4.32055554,-46.44944444,174.91,2014,2026,13,2008-09-11
A255,ZE DOCA,MA,NE,-3.26916666,-45.65111111,45.5,2019,2026,8,2019-09-18
S108,SAO BENTO,MA,NE,-2.7,-44.85,,2016,2018,3,2016-12-01
A502,BARBACENA,MG,SE,-21.22833332,-43.76777777,1168.76,2014,2026,13,2002-12-05
A505,ARAXA,MG,SE,-19.60583333,-46.94972221,1018.32,2014,2026,13,2002-12-19
A506,MONTES CLAROS,MG,SE,-16.68638888,-43.84388888,645.87,2014,2026,13,2002-12-19
A507,UBERLANDIA,MG,SE,-18.91694443,-48.25555555,874.77,2014,2026,13,2002-12-18
A508,ALMENARA,MG,SE,-16.16666666,-40.68777777,189.11,2014,2026,13,2002-12-15
A509,MONTE VERDE,MG,SE,-22.86166666,-46.04333333,1544.89,2014,2026,13,2004-12-19
A510,VICOSA,MG,SE,-20.7625,-42.86388888,697.64,2014,2026,13,2005-09-15
A511,TIMOTEO,MG,SE,-19.57388888,-42.62249999,493.42,2014,2026,13,2006-02-22
A512,ITUIUTABA,MG,SE,-18.95277777,-49.52499999,540.08,2014,2026,13,2006-05-12
A513,OURO BRANCO,MG,SE,-20.55666666,-43.75611111,1048.2,2014,2026,13,2006-07-28
A514,SAO JOAO DEL REI,MG,SE,-21.10638888,-44.25083333,929.88,2014,2026,13,2006-06-09
A515,VARGINHA,MG,SE,-21.56638888,-45.40416666,949.78,2014,2026,13,2006-07-13
A516,PASSOS,MG,SE,-20.74527777,-46.63388888,781.7,2014,2026,13,2006-07-16
A517,MURIAE,MG,SE,-21.105,-42.37583332,282.79,2014,2026,13,2006-08-30
A518,JUIZ DE FORA,MG,SE,-21.76999999,-43.36444444,936.88,2014,2026,13,2007-05-26
A519,CAMPINA VERDE,MG,SE,-19.53916666,-49.51805554,559.07,2014,2026,13,2006-07-15
A520,CONCEICAO DAS ALAGOAS,MG,SE,-19.98583333,-48.15166666,572.54,2014,2026,13,2006-07-18
A521,BELO HORIZONTE - PAMPULHA,MG,SE,-19.88388888,-43.96944443,854.02,2014,2026,13,2006-10-10
A522,SERRA DOS AIMORES,MG,SE,-17.79888888,-40.25,211.97,2014,2026,13,2006-08-21
A523,PATROCINIO,MG,SE,-18.99666666,-46.98583333,978.11,2014,2026,13,2006-08-22
A524,FORMIGA,MG,SE,-20.455,-45.45388888,878.14,2014,2026,13,2006-08-17
A525,SACRAMENTO,MG,SE,-19.87527777,-47.43416666,913.12,2014,2026,13,2006-08-19
A526,MONTALVANIA,MG,SE,-14.40833333,-44.40416666,519.52,2014,2026,13,2007-06-26
A527,TEOFILO OTONI,MG,SE,-17.89277777,-41.51555555,467.17,2014,2026,13,2006-08-25
A528,TRES MARIAS,MG,SE,-18.20083333,-45.45972222,931.01,2014,2026,13,2006-08-25
A529,PASSA QUATRO,MG,SE,-22.39583333,-44.96194444,1017.1,2014,2026,13,2007-05-30
A530,CALDAS,MG,SE,-21.91805554,-46.38305554,1077.34,2014,2026,13,2006-11-28
A531,MARIA DA FE,MG,SE,-22.31444444,-45.37305554,1281.43,2014,2026,13,2006-12-01
A532,GOVERNADOR VALADARES,MG,SE,-18.83027777,-41.97694443,198.24,2014,2026,13,2007-05-27
A533,GUANHAES,MG,SE,-18.78694444,-42.94305555,852.68,2014,2026,13,2007-06-02
A534,AIMORES,MG,SE,-19.53277777,-41.09083333,301.0,2014,2026,13,2007-08-05
A535,FLORESTAL,MG,SE,-19.88527777,-44.41694443,753.5,2014,2026,13,2008-06-27
A536,DORES DO INDAIA,MG,SE,-19.48194443,-45.59388888,721.09,2014,2026,13,2007-06-01
A537,DIAMANTINA,MG,SE,-18.231052,-43.648269,1359.25,2014,2026,13,2007-06-05
A538,CURVELO,MG,SE,-18.74777777,-44.45388888,669.48,2014,2026,13,2006-12-18
A539,MOCAMBINHO,MG,SE,-15.08583333,-44.01611111,454.0,2014,2026,13,2007-11-11
A540,MANTENA,MG,SE,-18.78055554,-40.98638888,254.91,2014,2026,13,2007-08-01
