ano_agricola;safra;uf;produto;id_produto;id_levantamento;dsc_levantamento;area_plantada_mil_ha;producao_mil_t;produtividade_mil_ha_mil_t
2020/21             ;UNICA          ;RO;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;8.1;11.4;1.4
2020/21             ;UNICA          ;SP;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;4.7;7.3;1.6
2020/21             ;UNICA          ;TO;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;7.1;9.7;1.4
2021/22             ;UNICA          ;AL;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;0.5;0.3;0.6
2021/22             ;UNICA          ;BA;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;307.7;520.5;1.7
2021/22             ;UNICA          ;CE;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;2.3;1.4;0.6
2021/22             ;UNICA          ;GO;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;27.1;48;1.8
2021/22             ;UNICA          ;MA;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;27.2;56.7;2.1
2021/22             ;UNICA          ;MG;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;29.4;44.3;1.5
2021/22             ;UNICA          ;MS;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;25.8;49;1.9
2021/22             ;UNICA          ;MT;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;1140.1;1766;1.5
2021/22             ;UNICA          ;PB;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;1.2;0.4;0.3
2021/22             ;UNICA          ;PI;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;15.6;27.3;1.8
2021/22             ;UNICA          ;PR;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;1.2;1.4;1.2
2021/22             ;UNICA          ;RN;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;0.3;0.4;1.3
2021/22             ;UNICA          ;RO;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;8.1;12;1.5
2021/22             ;UNICA          ;SP;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;8.5;13;1.5
2021/22             ;UNICA          ;TO;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;5.4;9.4;1.7
2022/23             ;UNICA          ;AC;ALGODAO EM PLUMA                        ;4586; 010;10º LEV             ;0;0;0
2022/23             ;UNICA          ;AC;ALGODAO EM PLUMA                        ;4586; 011;11º LEV             ;0;0;0
2022/23             ;UNICA          ;AC;ALGODAO EM PLUMA                        ;4586; 012;12º LEV             ;0;0;0
2022/23             ;UNICA          ;AC;ALGODAO EM PLUMA                        ;4586; 001;1º LEV              ;0;0;0
2022/23             ;UNICA          ;AC;ALGODAO EM PLUMA                        ;4586; 002;2º LEV              ;0;0;0
2022/23             ;UNICA          ;AC;ALGODAO EM PLUMA                        ;4586; 003;3º LEV              ;0;0;0
2022/23             ;UNICA          ;AC;ALGODAO EM PLUMA                        ;4586; 004;4º LEV              ;0;0;0
2022/23             ;UNICA          ;AC;ALGODAO EM PLUMA                        ;4586; 005;5º LEV              ;0;0;0
2022/23             ;UNICA          ;AC;ALGODAO EM PLUMA                        ;4586; 006;6º LEV              ;0;0;0
2022/23             ;UNICA          ;AC;ALGODAO EM PLUMA                        ;4586; 007;7º LEV              ;0;0;0
2022/23             ;UNICA          ;AC;ALGODAO EM PLUMA                        ;4586; 008;8º LEV              ;0;0;0
2022/23             ;UNICA          ;AC;ALGODAO EM PLUMA                        ;4586; 009;9º LEV              ;0;0;0
2022/23             ;UNICA          ;AL;ALGODAO EM PLUMA                        ;4586; 010;10º LEV             ;0;0;0
2022/23             ;UNICA          ;AL;ALGODAO EM PLUMA                        ;4586; 011;11º LEV             ;0;0;0
2022/23             ;UNICA          ;AL;ALGODAO EM PLUMA                        ;4586; 012;12º LEV             ;0;0;0
2022/23             ;UNICA          ;AL;ALGODAO EM PLUMA                        ;4586; 001;1º LEV              ;0.5;0.5;1
2022/23             ;UNICA          ;AL;ALGODAO EM PLUMA                        ;4586; 002;2º LEV              ;0.5;0.5;1
2022/23             ;UNICA          ;AL;ALGODAO EM PLUMA                        ;4586; 003;3º LEV              ;0.5;0.2;0.4
2022/23             ;UNICA          ;AL;ALGODAO EM PLUMA                        ;4586; 004;4º LEV              ;0.5;0.2;0.4
2022/23             ;UNICA          ;AL;ALGODAO EM PLUMA                        ;4586; 005;5º LEV              ;0.5;0.2;0.4
2022/23             ;UNICA          ;AL;ALGODAO EM PLUMA                        ;4586; 006;6º LEV              ;0.5;0.2;0.4
2022/23             ;UNICA          ;AL;ALGODAO EM PLUMA                        ;4586; 007;7º LEV              ;0.5;0.2;0.4
2022/23             ;UNICA          ;AL;ALGODAO EM PLUMA                        ;4586; 008;8º LEV              ;0.5;0.2;0.4
2022/23             ;UNICA          ;AL;ALGODAO EM PLUMA                        ;4586; 009;9º LEV              ;0;0;0
2022/23             ;UNICA          ;AM;ALGODAO EM PLUMA                        ;4586; 010;10º LEV             ;0;0;0
2022/23             ;UNICA          ;AM;ALGODAO EM PLUMA                        ;4586; 011;11º LEV             ;0;0;0
2022/23             ;UNICA          ;AM;ALGODAO EM PLUMA                        ;4586; 012;12º LEV             ;0;0;0
2022/23             ;UNICA          ;AM;ALGODAO EM PLUMA                        ;4586; 001;1º LEV              ;0;0;0
2022/23             ;UNICA          ;AM;ALGODAO EM PLUMA                        ;4586; 002;2º LEV              ;0;0;0
2022/23             ;UNICA          ;AM;ALGODAO EM PLUMA                        ;4586; 003;3º LEV              ;0;0;0
2022/23             ;UNICA          ;AM;ALGODAO EM PLUMA                        ;4586; 004;4º LEV              ;0;0;0
2022/23             ;UNICA          ;AM;ALGODAO EM PLUMA                        ;4586; 005;5º LEV              ;0;0;0
2022/23             ;UNICA          ;AM;ALGODAO EM PLUMA                        ;4586; 006;6º LEV              ;0;0;0
2022/23             ;UNICA          ;AM;ALGODAO EM PLUMA                        ;4586; 007;7º LEV              ;0;0;0
2022/23             ;UNICA          ;AM;ALGODAO EM PLUMA                        ;4586; 008;8º LEV              ;0;0;0
2022/23             ;UNICA          ;AM;ALGODAO EM PLUMA                        ;4586; 009;9º LEV              ;0;0;0
2022/23             ;UNICA          ;AP;ALGODAO EM PLUMA                        ;4586; 010;10º LEV             ;0;0;0
2022/23             ;UNICA          ;AP;ALGODAO EM PLUMA                        ;4586; 011;11º LEV             ;0;0;0
2022/23             ;UNICA          ;AP;ALGODAO EM PLUMA                        ;4586; 012;12º LEV             ;0;0;0
2022/23             ;UNICA          ;AP;ALGODAO EM PLUMA                        ;4586; 001;1º LEV              ;0;0;0
2022/23             ;UNICA          ;AP;ALGODAO EM PLUMA                        ;4586; 002;2º LEV              ;0;0;0
2022/23             ;UNICA          ;AP;ALGODAO EM PLUMA                        ;4586; 003;3º LEV              ;0;0;0
2022/23             ;UNICA          ;AP;ALGODAO EM PLUMA                        ;4586; 004;4º LEV              ;0;0;0
2022/23             ;UNICA          ;AP;ALGODAO EM PLUMA                        ;4586; 005;5º LEV              ;0;0;0
2022/23             ;UNICA          ;AP;ALGODAO EM PLUMA                        ;4586; 006;6º LEV              ;0;0;0
2022/23             ;UNICA          ;AP;ALGODAO EM PLUMA                        ;4586; 007;7º LEV              ;0;0;0
2022/23             ;UNICA          ;AP;ALGODAO EM PLUMA                        ;4586; 008;8º LEV              ;0;0;0
2022/23             ;UNICA          ;AP;ALGODAO EM PLUMA                        ;4586; 009;9º LEV              ;0;0;0
2022/23             ;UNICA          ;BA;ALGODAO EM PLUMA                        ;4586; 010;10º LEV             ;312.6;591.5;1.9
2022/23             ;UNICA          ;BA;ALGODAO EM PLUMA                        ;4586; 011;11º LEV             ;312.6;597.9;1.9
2022/23             ;UNICA          ;BA;ALGODAO EM PLUMA                        ;4586; 012;12º LEV             ;312.6;613.1;2
2022/23             ;UNICA          ;BA;ALGODAO EM PLUMA                        ;4586; 001;1º LEV              ;308;585.6;1.9
2022/23             ;UNICA          ;BA;ALGODAO EM PLUMA                        ;4586; 002;2º LEV              ;308;600.2;1.9
2022/23             ;UNICA          ;BA;ALGODAO EM PLUMA                        ;4586; 003;3º LEV              ;308;600.2;1.9
2022/23             ;UNICA          ;BA;ALGODAO EM PLUMA                        ;4586; 004;4º LEV              ;308;600.2;1.9
2022/23             ;UNICA          ;BA;ALGODAO EM PLUMA                        ;4586; 005;5º LEV              ;308;600.2;1.9
2022/23             ;UNICA          ;BA;ALGODAO EM PLUMA                        ;4586; 006;6º LEV              ;312.6;592.4;1.9
2022/23             ;UNICA          ;BA;ALGODAO EM PLUMA                        ;4586; 007;7º LEV              ;312.6;591.5;1.9
2022/23             ;UNICA          ;BA;ALGODAO EM PLUMA                        ;4586; 008;8º LEV              ;312.6;591.5;1.9
2022/23             ;UNICA          ;BA;ALGODAO EM PLUMA                        ;4586; 009;9º LEV              ;312.6;591.5;1.9
2022/23             ;UNICA          ;CE;ALGODAO EM PLUMA                        ;4586; 010;10º LEV             ;3.1;1.5;0.5
2022/23             ;UNICA          ;CE;ALGODAO EM PLUMA                        ;4586; 011;11º LEV             ;3.1;1.4;0.5
2022/23             ;UNICA          ;CE;ALGODAO EM PLUMA                        ;4586; 012;12º LEV             ;2.3;1.9;0.8
2022/23             ;UNICA          ;CE;ALGODAO EM PLUMA                        ;4586; 001;1º LEV              ;2.3;1.1;0.5
2022/23             ;UNICA          ;CE;ALGODAO EM PLUMA                        ;4586; 002;2º LEV              ;2.3;1.1;0.5
2022/23             ;UNICA          ;CE;ALGODAO EM PLUMA                        ;4586; 003;3º LEV              ;2.3;1.1;0.5
2022/23             ;UNICA          ;CE;ALGODAO EM PLUMA                        ;4586; 004;4º LEV              ;2.3;1.1;0.5
2022/23             ;UNICA          ;CE;ALGODAO EM PLUMA                        ;4586; 005;5º LEV              ;2.6;1.3;0.5
2022/23             ;UNICA          ;CE;ALGODAO EM PLUMA                        ;4586; 006;6º LEV              ;2.6;1.3;0.5
2022/23             ;UNICA          ;CE;ALGODAO EM PLUMA                        ;4586; 007;7º LEV              ;2.6;1.3;0.5
2022/23             ;UNICA          ;CE;ALGODAO EM PLUMA                        ;4586; 008;8º LEV              ;2.7;1.3;0.5
2022/23             ;UNICA          ;CE;ALGODAO EM PLUMA                        ;4586; 009;9º LEV              ;3.2;1.6;0.5
2022/23             ;UNICA          ;DF;ALGODAO EM PLUMA                        ;4586; 010;10º LEV             ;0;0;0
2022/23             ;UNICA          ;DF;ALGODAO EM PLUMA                        ;4586; 011;11º LEV             ;0;0;0
2022/23             ;UNICA          ;DF;ALGODAO EM PLUMA                        ;4586; 012;12º LEV             ;0;0;0
2022/23             ;UNICA          ;DF;ALGODAO EM PLUMA                        ;4586; 001;1º LEV              ;0;0;0
2022/23             ;UNICA          ;DF;ALGODAO EM PLUMA                        ;4586; 002;2º LEV              ;0;0;0
2022/23             ;UNICA          ;DF;ALGODAO EM PLUMA                        ;4586; 003;3º LEV              ;0;0;0
2022/23             ;UNICA          ;DF;ALGODAO EM PLUMA                        ;4586; 004;4º LEV              ;0;0;0
2022/23             ;UNICA          ;DF;ALGODAO EM PLUMA                        ;4586; 005;5º LEV              ;0;0;0
2022/23             ;UNICA          ;DF;ALGODAO EM PLUMA                        ;4586; 006;6º LEV              ;0;0;0
2022/23             ;UNICA          ;DF;ALGODAO EM PLUMA                        ;4586; 007;7º LEV              ;0;0;0
2022/23             ;UNICA          ;DF;ALGODAO EM PLUMA                        ;4586; 008;8º LEV              ;0;0;0
2022/23             ;UNICA          ;DF;ALGODAO EM PLUMA                        ;4586; 009;9º LEV              ;0;0;0
2022/23             ;UNICA          ;ES;ALGODAO EM PLUMA                        ;4586; 010;10º LEV             ;0;0;0
2022/23             ;UNICA          ;ES;ALGODAO EM PLUMA                        ;4586; 011;11º LEV             ;0;0;0
2022/23             ;UNICA          ;ES;ALGODAO EM PLUMA                        ;4586; 012;12º LEV             ;0;0;0
2022/23             ;UNICA          ;ES;ALGODAO EM PLUMA                        ;4586; 001;1º LEV              ;0;0;0
2022/23             ;UNICA          ;ES;ALGODAO EM PLUMA                        ;4586; 002;2º LEV              ;0;0;0
2022/23             ;UNICA          ;ES;ALGODAO EM PLUMA                        ;4586; 003;3º LEV              ;0;0;0
2022/23             ;UNICA          ;ES;ALGODAO EM PLUMA                        ;4586; 004;4º LEV              ;0;0;0
2022/23             ;UNICA          ;ES;ALGODAO EM PLUMA                        ;4586; 005;5º LEV              ;0;0;0
2022/23             ;UNICA          ;ES;ALGODAO EM PLUMA                        ;4586; 006;6º LEV              ;0;0;0
2022/23             ;UNICA          ;ES;ALGODAO EM PLUMA                        ;4586; 007;7º LEV              ;0;0;0
2022/23             ;UNICA          ;ES;ALGODAO EM PLUMA                        ;4586; 008;8º LEV              ;0;0;0
2022/23             ;UNICA          ;ES;ALGODAO EM PLUMA                        ;4586; 009;9º LEV              ;0;0;0
2022/23             ;UNICA          ;GO;ALGODAO EM PLUMA                        ;4586; 010;10º LEV             ;27.5;49;1.8
2022/23             ;UNICA          ;GO;ALGODAO EM PLUMA                        ;4586; 011;11º LEV             ;27.5;49.5;1.8
2022/23             ;UNICA          ;GO;ALGODAO EM PLUMA                        ;4586; 012;12º LEV             ;28.9;52;1.8
2022/23             ;UNICA          ;GO;ALGODAO EM PLUMA                        ;4586; 001;1º LEV              ;27.1;48.4;1.8
2022/23             ;UNICA          ;GO;ALGODAO EM PLUMA                        ;4586; 002;2º LEV              ;27.1;49.1;1.8
2022/23             ;UNICA          ;GO;ALGODAO EM PLUMA                        ;4586; 003;3º LEV              ;25.4;46;1.8
2022/23             ;UNICA          ;GO;ALGODAO EM PLUMA                        ;4586; 004;4º LEV              ;26.1;47.3;1.8
2022/23             ;UNICA          ;GO;ALGODAO EM PLUMA                        ;4586; 005;5º LEV              ;27.5;49.5;1.8
2022/23             ;UNICA          ;GO;ALGODAO EM PLUMA                        ;4586; 006;6º LEV              ;27.5;49.5;1.8
2022/23             ;UNICA          ;GO;ALGODAO EM PLUMA                        ;4586; 007;7º LEV              ;27.5;49.5;1.8
2022/23             ;UNICA          ;GO;ALGODAO EM PLUMA                        ;4586; 008;8º LEV              ;27.5;48.5;1.8
2022/23             ;UNICA          ;GO;ALGODAO EM PLUMA                        ;4586; 009;9º LEV              ;27.5;49;1.8
2022/23             ;UNICA          ;MA;ALGODAO EM PLUMA                        ;4586; 010;10º LEV             ;25.9;55.3;2.1
2022/23             ;UNICA          ;MA;ALGODAO EM PLUMA                        ;4586; 011;11º LEV             ;25.9;49.8;1.9
2022/23             ;UNICA          ;MA;ALGODAO EM PLUMA                        ;4586; 012;12º LEV             ;25.9;47.5;1.8
2022/23             ;UNICA          ;MA;ALGODAO EM PLUMA                        ;4586; 001;1º LEV              ;28.1;49.4;1.8
2022/23             ;UNICA          ;MA;ALGODAO EM PLUMA                        ;4586; 002;2º LEV              ;28.1;50.7;1.8
2022/23             ;UNICA          ;MA;ALGODAO EM PLUMA                        ;4586; 003;3º LEV              ;28.1;50.7;1.8
2022/23             ;UNICA          ;MA;ALGODAO EM PLUMA                        ;4586; 004;4º LEV              ;27.6;49.8;1.8
2022/23             ;UNICA          ;MA;ALGODAO EM PLUMA                        ;4586; 005;5º LEV              ;28.5;51.4;1.8
2022/23             ;UNICA          ;MA;ALGODAO EM PLUMA                        ;4586; 006;6º LEV              ;25.6;54.7;2.1
2022/23             ;UNICA          ;MA;ALGODAO EM PLUMA                        ;4586; 007;7º LEV              ;25.6;54.7;2.1
2022/23             ;UNICA          ;MA;ALGODAO EM PLUMA                        ;4586; 008;8º LEV              ;25.9;55.3;2.1
2022/23             ;UNICA          ;MA;ALGODAO EM PLUMA                        ;4586; 009;9º LEV              ;25.9;55.3;2.1
2022/23             ;UNICA          ;MG;ALGODAO EM PLUMA                        ;4586; 010;10º LEV             ;25.8;47.7;1.8
2022/23             ;UNICA          ;MG;ALGODAO EM PLUMA                        ;4586; 011;11º LEV             ;25.8;47.7;1.8
2022/23             ;UNICA          ;MG;ALGODAO EM PLUMA                        ;4586; 012;12º LEV             ;25.8;48.5;1.9
